USPS	GEOID	ANSICODE	NAME	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                      
MA	2500916250	00618295	Danvers town	A	34392465	2346845	13.279	0.906	42.574174	-70.950516                                                                                                                
MA	2500921850	00618296	Essex town	A	36161205	5384307	13.962	2.079	42.640451	-70.771165                                                                                                                  
MA	2500925625	00619445	Georgetown town	A	33304917	747696	12.859	0.289	42.726226	-70.983318                                                                                                              
MA	2500926150	00618297	Gloucester city	F	67838409	39676472	26.193	15.319	42.62885	-70.685875                                                                                                            
MA	2500927620	00618298	Groveland town	A	22999252	1338979	8.88	0.517	42.7539	-71.015935                                                                                                                  
MA	2500927900	00619446	Hamilton town	A	36717405	1910349	14.177	0.738	42.626223	-70.85723                                                                                                                
MA	2500929405	00619447	Haverhill city	F	85561708	6892224	33.036	2.661	42.782945	-71.087436                                                                                                              
MA	2500932310	00619448	Ipswich town	A	83151460	26699963	32.105	10.309	42.695981	-70.835648                                                                                                              
MA	2500934550	00619449	Lawrence city	F	17948043	1291680	6.93	0.499	42.700273	-71.161357                                                                                                                 
MA	2500937490	00619450	Lynn city	F	27813613	7204026	10.739	2.781	42.474766	-70.962035                                                                                                                   
MA	2500937560	00618299	Lynnfield town	A	25524420	1518917	9.855	0.586	42.534146	-71.038333                                                                                                               
MA	2500937995	00619451	Manchester-by-the-Sea town	A	23904339	23399233	9.23	9.034	42.562563	-70.760557                                                                                                   
MA	2500938400	00618300	Marblehead town	A	11340917	39374816	4.379	15.203	42.495629	-70.83582                                                                                                             
MA	2500940430	00618301	Merrimac town	A	22011371	1032793	8.499	0.399	42.838603	-71.011997                                                                                                                
MA	2500940710	00618302	Methuen Town city	F	57529732	2020112	22.212	0.78	42.742641	-71.178651                                                                                                            
MA	2500941095	00618303	Middleton town	A	34827993	2696524	13.447	1.041	42.610513	-71.007118                                                                                                              
MA	2500943580	00618304	Nahant town	A	2786306	37701159	1.076	14.556	42.41824	-70.932728                                                                                                                  
MA	2500945175	00619452	Newbury town	A	60534393	7582531	23.372	2.928	42.770406	-70.872417                                                                                                                
MA	2500945245	00618305	Newburyport city	F	21626955	6108388	8.35	2.358	42.812141	-70.886646                                                                                                              
MA	2500946365	00618306	North Andover town	A	68075842	3709346	26.284	1.432	42.673909	-71.091334                                                                                                          
MA	2500952490	00618307	Peabody city	F	42052588	1486470	16.237	0.574	42.53431	-70.969443                                                                                                                 
MA	2500957880	00618308	Rockport town	A	18098036	27326910	6.988	10.551	42.656952	-70.60463                                                                                                               
MA	2500958405	00618309	Rowley town	A	47139582	5571536	18.201	2.151	42.721495	-70.886637                                                                                                                 
MA	2500959105	00619453	Salem city	F	21481051	25918839	8.294	10.007	42.499248	-70.898204                                                                                                                 
MA	2500959245	00618310	Salisbury town	A	39817066	6241763	15.373	2.41	42.844794	-70.841499                                                                                                               
MA	2500960015	00619454	Saugus town	A	27907444	2556905	10.775	0.987	42.468432	-71.013946                                                                                                                 
MA	2500968645	00618311	Swampscott town	A	7826791	9550285	3.022	3.687	42.468059	-70.89126                                                                                                                
MA	2500970150	00618312	Topsfield town	A	30815148	2337347	11.898	0.902	42.641387	-70.943383                                                                                                              
MA	2500974595	00619455	Wenham town	A	19837024	1249348	7.659	0.482	42.600668	-70.88326                                                                                                                   
MA	2500977150	00618313	West Newbury town	A	34828194	3307591	13.447	1.277	42.799565	-70.964428                                                                                                           
MA	2501102095	00619377	Ashfield town	A	103584075	649906	39.994	0.251	42.520324	-72.805606                                                                                                               
MA	2501105560	00619378	Bernardston town	A	60580576	62135	23.39	0.024	42.691851	-72.55984                                                                                                                
MA	2501109595	00618159	Buckland town	A	50937282	545994	19.667	0.211	42.592092	-72.788605                                                                                                                
