municipality,year,payt,svc_type,hh_total,hh_trash,hh_recycling,trash_tons,recyc_tons,bulky_incl,lbs_hh_yr,coverage
Gardner,2023,0,Both,8973.0,6724.0,6724.0,4685.0,1499.0,0,1393.515764425937,0.7493591886771426
Gill,2023,1,Curbside,559.0,559.0,559.0,169.57,,0,606.6905187835421,1.0
Gloucester,2023,1,Curbside,14500.0,13750.0,13750.0,6927.48,3062.93,1,1007.6334545454546,0.9482758620689655
Goshen,2023,1,Drop-off,559.0,258.0,258.0,126.94,,0,984.031007751938,0.46153846153846156
Grafton,2023,1,Curbside,6341.0,4921.0,4921.0,3679.04,1651.92,1,1495.2408047144888,0.776060558271566
Granville,2023,1,Drop-off,565.0,450.0,500.0,132.33,,1,588.1333333333333,0.7964601769911505
Greenfield,2023,1,Both,5265.0,5048.0,5048.0,3455.59,,1,1369.0927099841522,0.9587844254510921
Groton,2023,1,Drop-off,3969.0,1477.0,3969.0,713.24,,0,965.7955314827353,0.37213403880070545
Groveland,2023,0,Curbside,2618.0,2283.0,2283.0,2486.45,588.77,1,2178.2303985983353,0.8720397249809014
Halifax,2023,0,Curbside,3070.0,1208.0,1800.0,598.36,259.37,0,990.6622516556291,0.393485342019544
Hamilton,2023,1,Curbside,2687.0,2687.0,2687.0,1393.4,1009.6,1,1037.1417938221064,1.0
Hancock,2023,0,Drop-off,315.0,275.0,275.0,203.05,,0,1476.7272727272727,0.873015873015873
Hanover,2023,0,Drop-off,5400.0,5400.0,5400.0,4326.0,,0,1602.2222222222222,1.0
Hanson,2023,1,Drop-off,3650.0,1740.0,1740.0,649.0,261.1,1,745.9770114942529,0.4767123287671233
Harvard,2023,1,Drop-off,2056.0,1340.0,1340.0,597.0,,0,891.044776119403,0.6517509727626459
Harwich,2023,0,Drop-off,10455.0,5141.0,5141.0,4577.0,,0,1780.5874343512935,0.49172644667623144
Haverhill,2023,0,Curbside,23307.0,22819.0,22819.0,20778.05,5472.14,1,1821.1183662737192,0.9790620843523405
Heath,2023,1,Drop-off,383.0,353.0,353.0,127.67,,0,723.342776203966,0.9216710182767625
Hingham,2023,0,Drop-off,7390.0,7390.0,7390.0,5063.3,,0,1370.3112313937754,1.0
Hinsdale,2023,1,Drop-off,742.0,312.0,312.0,302.4,,0,1938.4615384615386,0.42048517520215634
Holden,2023,0,Curbside,7158.0,6153.0,6153.0,5093.17,1625.0,0,1655.5078823338208,0.8595976529756916
Holliston,2023,1,Curbside,5226.0,4875.0,4875.0,3120.0,1530.0,1,1280.0,0.9328358208955224
Hopkinton,2023,0,Curbside,6674.0,5200.0,5200.0,4103.75,1497.68,1,1578.3653846153845,0.7791429427629607
Huntington,2023,1,Drop-off,954.0,503.0,503.0,283.99,,0,1129.1848906560635,0.5272536687631028
Ipswich,2023,1,Curbside,6583.0,5078.0,5196.0,2761.97,1619.36,1,1087.8180385978733,0.771380829409084
Kingston,2023,0,Drop-off,4786.0,3500.0,3500.0,2568.1,,0,1467.4857142857143,0.7312996239030506
Lakeville,2023,1,Drop-off,4979.0,1545.0,1545.0,495.54,0.0,0,641.4757281553398,0.3103032737497489
Lawrence,2023,0,Curbside,35222.0,26132.0,26132.0,28686.24,4603.0,0,2195.487524873718,0.7419226619726308
Leominster,2023,0,Both,14927.0,11529.0,11529.0,10650.0,3050.0,1,1847.5149622690606,0.772358812889395
Leverett,2023,1,Drop-off,760.0,644.0,644.0,144.72,,0,449.44099378881987,0.8473684210526315
Lexington,2023,0,Curbside,11857.0,11268.0,11643.0,8014.0,3380.0,1,1422.435214767483,0.9503247027072615
Lincoln,2023,0,Drop-off,1949.0,1949.0,1949.0,602.38,304.0,1,618.1426372498718,1.0
Littleton,2023,1,Drop-off,3472.0,1732.0,1732.0,750.38,,0,866.4896073903002,0.4988479262672811
Longmeadow,2023,1,Curbside,5779.0,5550.0,5550.0,3128.3,0.0,0,1127.3153153153153,0.9603737670877315
Lowell,2023,0,Curbside,40000.0,35006.0,35006.0,25333.61,6882.0,1,1447.386733702794,0.87515
Ludlow,2023,1,Both,7206.0,7132.0,7132.0,5272.0,,0,1478.4071789119462,0.9897307799056342
Lunenburg,2023,1,Curbside,4289.0,3689.0,4289.0,1718.4,972.0,0,931.6345893195988,0.8601072511074843
Lynn,2023,0,Curbside,33122.0,27000.0,27000.0,27948.02,7465.39,1,2070.223703703704,0.8151681661735403
Lynnfield,2023,0,Curbside,4590.0,4350.0,4350.0,4339.63,902.94,1,1995.232183908046,0.9477124183006536
Malden,2023,1,Curbside,25000.0,17100.0,17100.0,11631.0,4154.98,1,1360.3508771929824,0.684
Manchester,2023,1,Curbside,2271.0,2271.0,2271.0,1095.65,744.98,1,964.9053280493175,1.0
Mansfield,2023,0,Curbside,8030.0,7204.0,7204.0,5132.0,2094.0,0,1424.7640199888951,0.8971357409713574
Marblehead,2023,0,Both,8000.0,8000.0,8000.0,4732.98,2582.4,0,1183.245,1.0
Marion,2023,0,Both,2783.0,2783.0,2783.0,1916.99,558.1,0,1377.6428314768236,1.0
Marlborough,2023,0,Both,12000.0,12000.0,12000.0,9234.57,2964.5,0,1539.095,1.0
Marshfield,2023,1,Both,9663.0,9545.0,9545.0,6017.0,3009.0,1,1260.7647983237298,0.9877884714891856
